tournament,model,runtime_sec,cache_hit,n_skipped
wc14,dc,97.02815794944763,False,0
wc14,bayesian,24.56307101249695,False,0
wc18,dc,101.67511487007141,False,0
wc18,bayesian,24.900760889053345,False,0
wc22,dc,193.6796190738678,True,0
wc22,gbm,0.8316950798034668,True,0
wc22,bayesian,28.526493072509766,False,0
euro16,dc,155.40690088272095,False,0
euro16,bayesian,26.951035976409912,False,0
euro20,dc,129.91014003753662,False,0
euro20,bayesian,31.015064001083374,False,0
euro24,dc,131.5206789970398,True,0
euro24,gbm,0.5587480068206787,True,0
euro24,bayesian,33.10786318778992,False,0
copa19,dc,87.5869209766388,False,0
copa19,bayesian,32.25775194168091,False,0
copa21,dc,102.02170610427856,False,0
copa21,bayesian,16.6336669921875,False,0
copa24,dc,116.00890803337097,True,0
copa24,gbm,0.54494309425354,True,0
copa24,bayesian,18.313482999801636,False,0
afcon19,dc,95.7292869091034,False,0
afcon19,bayesian,27.999762058258057,False,0
afcon21,dc,140.47743010520935,False,0
afcon21,bayesian,38.03813028335571,False,0
afcon23,dc,169.12283086776733,False,0
afcon23,gbm,1.4605870246887207,False,0
afcon23,bayesian,42.381365060806274,False,0
asian19,dc,93.77853417396545,False,0
asian19,bayesian,39.32255005836487,False,0
asian23,dc,188.93624305725098,False,0
asian23,gbm,0.6087901592254639,False,0
asian23,bayesian,25.32410502433777,False,0
